2019-01-28 06:07:01.383 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 28-01-2019 06:07:01 AM
2019-01-28 06:07:13.593 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-28 06:07:13.607 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-28 06:07:33.622 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-01-28 06:10:32.654 [Thread-8] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 28-01-2019 06:07:01 AM. Used for 1548636032650 ms
2019-01-28 06:10:50.272 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 28-01-2019 06:10:50 AM
2019-01-28 06:10:57.625 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-28 06:10:57.639 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-28 06:11:09.174 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in user
2019-01-28 06:12:02.071 [Thread-8] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 28-01-2019 06:10:50 AM. Used for 1548636122066 ms
2019-01-28 09:24:18.547 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 28-01-2019 09:24:18 AM
2019-01-28 09:24:22.956 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-28 09:24:22.962 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-28 09:24:53.769 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in user
2019-01-28 09:26:08.194 [Thread-8] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 28-01-2019 09:24:18 AM. Used for 1548647768192 ms
2019-01-28 09:27:44.804 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 28-01-2019 09:27:44 AM
2019-01-28 09:27:53.458 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-28 09:27:53.481 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-28 09:28:07.951 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in user
2019-01-28 09:29:46.561 [Thread-8] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 28-01-2019 09:27:44 AM. Used for 1548647986559 ms
2019-01-28 09:46:49.460 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 28-01-2019 09:46:49 AM
2019-01-28 09:46:54.353 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-28 09:46:54.367 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-28 09:47:12.848 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in user
